"mode","peel","Year","ssb","recruit_male"
"standard",5,2004,81.15846753,1601265.74340476
"standard",5,2005,94.26135902,376530.11222472
"standard",5,2006,117.63617415,364581.25040987
"standard",5,2007,131.41685027,716969.64539786
"standard",5,2008,145.07585875,1314205.80803942
"standard",5,2009,163.95333517,422824.44922578
"standard",5,2010,161.49976776,698811.4845815
"standard",5,2011,162.03684464,691090.69791009
"standard",5,2012,152.95896157,904353.83205081
"standard",5,2013,153.26830987,1365525.96115066
"standard",5,2014,143.57718629,4580214.97094063
"standard",6,1982,215.27814186,1793790.58608279
"standard",6,1983,229.21157288,1830795.0497712
"standard",6,1984,246.16814797,3186350.56153745
"standard",6,1985,257.22565601,3517698.98010418
"standard",6,1986,279.8168509,142770.08707601
"standard",6,1987,316.27468353,1123682.66439939
"standard",6,1988,373.94309339,443812.31039083
"standard",6,1989,434.12901838,613929.25016998
"standard",6,1990,390.79553854,2767602.15787472
"standard",6,1991,357.72446705,3557680.77570453
"standard",6,1992,282.39929086,82292.49582347
"standard",6,1993,255.49602749,80787.43179548
"standard",6,1994,321.41974693,381369.9307802
"standard",6,1995,293.37167858,176336.76161665
"standard",6,1996,305.22230138,278389.06171741
"standard",6,1997,285.93739988,214617.1208859
"standard",6,1998,201.36576052,378993.47667819
"standard",6,1999,168.15091565,266327.97023774
"standard",6,2000,139.45901796,28766.96092437
"standard",6,2001,115.79377919,1192935.22884911
"standard",6,2002,96.15549934,771521.45470502
"standard",6,2003,87.66380489,460097.57113506
"standard",6,2004,80.16769856,1514532.73910325
"standard",6,2005,93.28886209,479930.50677661
"standard",6,2006,116.66564783,357830.94098722
"standard",6,2007,130.15200247,726130.47825265
"standard",6,2008,142.87915584,2127247.8488558
"standard",6,2009,160.68272738,591461.29901244
"standard",6,2010,159.55533372,1084895.20167569
"standard",6,2011,168.10441287,1472817.85911183
"standard",6,2012,171.20673551,1244830.89553213
"standard",6,2013,191.73803688,1444577.80970739
"standard",7,1982,216.41930678,1749551.89212274
"standard",7,1983,228.66455988,1763515.26257466
"standard",7,1984,243.95586343,3101645.85183554
"standard",7,1985,254.17921033,3428947.73568856
"standard",7,1986,276.429698,141072.95968711
"standard",7,1987,312.40040297,1094580.18864602
"standard",7,1988,369.23838253,431210.02179624
"standard",7,1989,428.98177862,598502.24634845
"standard",7,1990,386.15696377,2667535.11143279
"standard",7,1991,353.79609294,3473906.33155525
"standard",7,1992,279.3107929,79865.68317572
"standard",7,1993,252.71075472,76715.38869235
"standard",7,1994,317.47969348,367925.65226764
"standard",7,1995,289.77657888,174315.22344202
"standard",7,1996,301.65922051,269480.99700658
"standard",7,1997,282.74919678,209222.53276936
"standard",7,1998,199.04438388,358983.68462983
"standard",7,1999,166.1956896,261806.80303949
"standard",7,2000,137.8751279,27859.49925513
"standard",7,2001,114.49014845,1151653.5001943
"standard",7,2002,95.00518503,754518.80205596
"standard",7,2003,86.46435445,427185.08300476
"standard",7,2004,78.89908964,1482465.17094852
"standard",7,2005,91.79097622,468410.30819336
"standard",7,2006,114.72359206,414621.75888847
"standard",7,2007,127.89700933,1189801.55904215
"standard",7,2008,140.454621,1999818.62406269
"standard",7,2009,159.00902906,695029.53820199
"standard",7,2010,161.57562699,1177400.49917212
"standard",7,2011,178.88994161,1673394.01936392
"standard",7,2012,191.51791765,1943688.56852463
"standard",8,1982,215.88690088,1888426.01591585
"standard",8,1983,227.74372903,1894242.95422122
"standard",8,1984,243.08246166,3282956.86330159
"standard",8,1985,254.12201663,3729333.10796153
"standard",8,1986,277.7826552,158831.7643897
"standard",8,1987,315.27099566,1173795.41330308
"standard",8,1988,373.43803852,461538.06272294
"standard",8,1989,434.16211718,649255.7038606
"standard",8,1990,391.95679806,2786549.46158276
"standard",8,1991,358.72563423,3794528.36904873
"standard",8,1992,283.64710522,87630.58793203
"standard",8,1993,257.22071325,79957.04192759
"standard",8,1994,323.68144213,396012.54408294
"standard",8,1995,295.64064527,188128.24665201
"standard",8,1996,307.38858291,286337.63655659
"standard",8,1997,287.54655696,228058.23177327
"standard",8,1998,202.88412767,370673.60551423
"standard",8,1999,169.09364366,292834.28911112
"standard",8,2000,140.25421573,30075.25900277
"standard",8,2001,116.53619186,1213371.3227147
"standard",8,2002,96.68374404,837863.64944634
"standard",8,2003,87.75510684,420407.82983939
"standard",8,2004,79.89827642,1596266.08936647
"standard",8,2005,93.05159704,533200.37427724
"standard",8,2006,116.5197452,441608.06283455
"standard",8,2007,129.87122437,1546688.93244366
"standard",8,2008,142.53058344,2640273.27427335
"standard",8,2009,161.37989311,1085713.86976498
