"mode","peel","Year","recruit_male"
"drop_survey",2,1997,227864.26648548
"drop_survey",2,1998,486139.40103115
"drop_survey",2,1999,316483.97892246
"drop_survey",2,2000,34331.24768846
"drop_survey",2,2001,1424458.90521325
"drop_survey",2,2002,882408.15657574
"drop_survey",2,2003,583153.43314383
"drop_survey",2,2004,1982244.38858655
"drop_survey",2,2005,431458.78822463
"drop_survey",2,2006,452181.24541542
"drop_survey",2,2007,892983.35950406
"drop_survey",2,2008,1345888.2122518
"drop_survey",2,2009,147770.78515873
"drop_survey",2,2010,391249.65712828
"drop_survey",2,2011,153832.00174109
"drop_survey",2,2012,530817.68915633
"drop_survey",2,2013,764079.86069772
"drop_survey",2,2014,2542519.68363931
"drop_survey",2,2015,2664408.51201917
"drop_survey",2,2016,1535222.05678172
"drop_survey",2,2017,2064151.94576863
"drop_survey",3,1982,2015525.26042018
"drop_survey",3,1983,2011948.67060862
"drop_survey",3,1984,3495192.63143228
"drop_survey",3,1985,3872154.57574099
"drop_survey",3,1986,157928.6067357
"drop_survey",3,1987,1244980.68285879
"drop_survey",3,1988,467326.21965328
"drop_survey",3,1989,715472.25939961
"drop_survey",3,1990,2938366.74423324
"drop_survey",3,1991,3905974.19890048
"drop_survey",3,1992,101938.67338376
"drop_survey",3,1993,112303.13809048
"drop_survey",3,1994,392237.42029487
"drop_survey",3,1995,191758.60192005
"drop_survey",3,1996,340233.69128752
"drop_survey",3,1997,202360.5498092
"drop_survey",3,1998,452190.71700714
"drop_survey",3,1999,280826.65887374
"drop_survey",3,2000,31544.3133269
"drop_survey",3,2001,1309620.37450327
"drop_survey",3,2002,804297.31894299
"drop_survey",3,2003,556786.30580354
"drop_survey",3,2004,1788308.20556145
"drop_survey",3,2005,394239.19913231
"drop_survey",3,2006,371488.93688942
"drop_survey",3,2007,848205.39340437
"drop_survey",3,2008,1228962.42491309
"drop_survey",3,2009,108161.98941997
"drop_survey",3,2010,388659.19771177
"drop_survey",3,2011,568283.98814639
"drop_survey",3,2012,566768.53112505
"drop_survey",3,2013,875043.0206773
"drop_survey",3,2014,2937345.53828592
"drop_survey",3,2015,2182528.53857877
"drop_survey",3,2016,1975192.95145617
"drop_survey",4,1982,1982176.13425811
"drop_survey",4,1983,1982309.57522797
"drop_survey",4,1984,3445344.04814432
"drop_survey",4,1985,3826440.5456807
"drop_survey",4,1986,152486.64022398
"drop_survey",4,1987,1229196.83539051
"drop_survey",4,1988,467815.96945873
"drop_survey",4,1989,695636.14817546
"drop_survey",4,1990,2909069.67203212
"drop_survey",4,1991,3868051.05684321
"drop_survey",4,1992,98580.55902728
"drop_survey",4,1993,107131.46641647
"drop_survey",4,1994,392465.97363679
"drop_survey",4,1995,188474.24363439
"drop_survey",4,1996,331098.58137259
"drop_survey",4,1997,206614.92791186
"drop_survey",4,1998,442091.33132915
"drop_survey",4,1999,279173.42823041
"drop_survey",4,2000,30860.26381603
