"mode","peel","Year","ssb","recruit_male"
"drop_survey",1,2021,59.69199837,1774393.44129829
"drop_survey",1,2022,66.57367181,4140528.41493768
"drop_survey",1,2023,67.04712865,1997777.81627326
"drop_survey",1,2024,97.25703305,2229848.01867641
"drop_survey",2,1982,203.96756826,2306667.39408133
"drop_survey",2,1983,266.65638272,2169197.20526654
"drop_survey",2,1984,310.30205126,3793409.55026824
"drop_survey",2,1985,324.99325168,3822853.5487404
"drop_survey",2,1986,340.45175763,146812.92939807
"drop_survey",2,1987,371.8107772,1323864.47312937
"drop_survey",2,1988,430.68488724,545699.37866776
"drop_survey",2,1989,490.30964565,663547.3300616
"drop_survey",2,1990,437.77352301,3652375.94488749
"drop_survey",2,1991,392.75355037,3780673.60226573
"drop_survey",2,1992,308.31816688,165042.9386024
"drop_survey",2,1993,279.08620275,394341.47549564
"drop_survey",2,1994,355.41284596,240650.7058492
"drop_survey",2,1995,324.23612172,174854.00205288
"drop_survey",2,1996,338.80490897,434402.71391689
"drop_survey",2,1997,317.01814927,356867.72810283
"drop_survey",2,1998,223.55348138,569621.46663766
"drop_survey",2,1999,191.52144792,293446.28350476
"drop_survey",2,2000,158.07052211,51207.4117521
"drop_survey",2,2001,131.80200617,1480762.90319942
"drop_survey",2,2002,113.85942229,1077657.17873612
"drop_survey",2,2003,109.78526503,1089444.160671
"drop_survey",2,2004,104.22602499,1689554.63469718
"drop_survey",2,2005,120.19871471,260027.82176253
"drop_survey",2,2006,150.63028007,345918.18950078
"drop_survey",2,2007,171.07569157,839311.61731108
"drop_survey",2,2008,191.76623102,1319641.78000876
"drop_survey",2,2009,212.63963624,137858.52013074
"drop_survey",2,2010,199.24356246,390746.28899895
"drop_survey",2,2011,184.06023393,162193.94315367
"drop_survey",2,2012,161.4607612,870705.95737887
"drop_survey",2,2013,148.44926058,1038592.84023565
"drop_survey",2,2014,123.67680881,5109881.36337115
"drop_survey",2,2015,109.51865899,3465035.27156807
"drop_survey",2,2016,105.03048712,1602169.51972679
"drop_survey",2,2017,153.15713949,138808.06368119
"drop_survey",2,2018,128.67612832,133157.99629988
"drop_survey",2,2019,74.85711912,77681.72029493
"drop_survey",2,2020,51.93684389,1055021.47158809
"drop_survey",2,2021,57.95190001,997879.2074614
"drop_survey",2,2022,65.36015034,3974715.44982097
"drop_survey",2,2023,60.51102032,2285513.17209781
"drop_survey",3,1982,203.52572986,2281251.81876018
"drop_survey",3,1983,266.56120545,2150362.4253876
"drop_survey",3,1984,310.25026445,3766409.39267548
"drop_survey",3,1985,324.65707405,3763774.31783283
"drop_survey",3,1986,339.69779328,146646.54501765
"drop_survey",3,1987,370.64811646,1316394.3206978
"drop_survey",3,1988,429.11479271,538547.68643157
"drop_survey",3,1989,488.38377877,660265.74895868
"drop_survey",3,1990,435.74524633,3599030.48984943
"drop_survey",3,1991,390.64875423,3760113.44234306
"drop_survey",3,1992,306.50051651,163393.80320168
"drop_survey",3,1993,277.37779,390557.94192594
"drop_survey",3,1994,353.18152263,238477.86107354
"drop_survey",3,1995,322.20032644,176445.57681638
"drop_survey",3,1996,336.8685992,425389.37345598
"drop_survey",3,1997,315.45573329,354095.35798717
"drop_survey",3,1998,222.37703343,568023.33093038
"drop_survey",3,1999,190.61771132,284449.75896349
"drop_survey",3,2000,157.38390692,51184.84148322
"drop_survey",3,2001,131.20349316,1470727.7958033
"drop_survey",3,2002,113.29314972,1077456.32538436
"drop_survey",3,2003,109.25308868,1070549.54441804
"drop_survey",3,2004,103.74270566,1686193.59599036
"drop_survey",3,2005,119.6097621,241758.53501779
"drop_survey",3,2006,150.04063587,350762.57932454
"drop_survey",3,2007,170.61105475,832399.89554854
"drop_survey",3,2008,191.32829241,1313689.08219259
"drop_survey",3,2009,212.13659553,138915.4084473
"drop_survey",3,2010,198.75344764,388793.32535844
