"mode","peel","Year","recruit_male"
"drop_survey",8,1985,4332015.24924711
"drop_survey",8,1986,172958.34106718
"drop_survey",8,1987,1371184.00678934
"drop_survey",8,1988,499438.4413147
"drop_survey",8,1989,820652.48887694
"drop_survey",8,1990,3111933.31683309
"drop_survey",8,1991,4361494.88481587
"drop_survey",8,1992,112201.50288784
"drop_survey",8,1993,119156.89984112
"drop_survey",8,1994,417104.05815884
"drop_survey",8,1995,249800.58269743
"drop_survey",8,1996,348290.69995994
"drop_survey",8,1997,227864.25183237
"drop_survey",8,1998,486139.36500849
"drop_survey",8,1999,316483.93211047
"drop_survey",8,2000,34331.24657479
"drop_survey",8,2001,1424458.80512711
"drop_survey",8,2002,882408.04030132
"drop_survey",8,2003,583153.40947745
"drop_survey",8,2004,1982244.17710088
"drop_survey",8,2005,431458.73652449
"drop_survey",8,2006,452181.19573676
"drop_survey",8,2007,892983.27224617
"drop_survey",8,2008,1345888.07898072
"drop_survey",8,2009,147770.77359868
"drop_survey",8,2010,391249.61288671
"drop_survey",8,2011,153831.99083166
