#========================================================================================================																													
#	Gmacs	Main	Data	File	Version	1.1:	BBRKC	Example																					
#	GEAR_INDEX	DESCRIPTION																											
#	1	:	Pot	fishery	retained	catch.																							
#	1	:	Pot	fishery	with	discarded	catch.																						
#	2	:	Trawl	bycatch																									
#	3	:	Trawl	survey																									
#	Fisheries:	1	Pot	"Fishery,"	2	Pot	"Discard,"	3	Trawl	"by-catch,"	4	Tanner bycatch 5 fixed gear																	
#	Surveys:	6	NMFS	Trawl	"Survey,"	7	BSFRF	Survey																					
#========================================================================================================																													
1982	# Start	year																											
2019	# End	year																											
3	# Number of seasons																												
4	# Number of fleets (fishing fleets and surveys)																												
2	# Number of sexes																												
1	# Number of shell condition types																												
2	# Number of maturity types																												
22	# Number of size-classes in the	model																											
3	# Season recruitment occurs																												
3	# Season molting and growth occurs																												
3	# Season to calculate SSB																												
1	# Season for N output																												
# maximum size-class (males then females)																													
22 22																													
#	size_breaks (a	vector	giving	the	break	points	between	size	"intervals,"	dim=nclass+1)																			
25	30	35	40	45	50	55	60	65	70	75	80	85	90	95	100	105	110	115	120	125	130	135							
#	Natural	mortality	per	season	input	type	(1	=	vector	by	"season,"	2	=	matrix	by	season/year)													
1																													
#	Proportion of the total	natural	mortality to be	applied	each	season																							
#0.625 0.00 0.375																													
0.62 0.01 0.37																													
# Fishing fleet	names (delimited with spaces; no spaces in names)																												
Pot_Fishery Trawl_Bycatch																													
# Survey names (delimited with spaces; no spaces in names)																													
NMFS_Trawl_1982 NMFS_Trawl_1989																													
# Are the seasons instantaneous (0) or continuous (1)																													
1 1 1																													
# Input catch data format (0: old; 1:new)																													
0																													
# Number of catch data frames																													
4																													
# Number of rows in each data frame																													
38	38	38	38
##		##																											
##	CATCH	DATA																											
##	Type of	"catch: 1 = retained, 2"	"= discard, 0 ="	total																									
##	Units of catch:	"1 = biomass, 2 = numbers"																											
##	for snow Units	are in 1000 mt	for landed & discards.																										
##		##																											
##	Male	retained	pot	fishery	(tonnes)																								
#year	seas	fleet	sex	obs	cv	type	units	mult	effort	discard_mortality																			
1998	2	1	2	0.00760041904324053	0.07	2	1	1	0	0.3
1999	2	1	2	0.00802050559609549	0.07	2	1	1	0	0.3
2000	2	1	2	0.000918842468912956	0.07	2	1	1	0	0.3
2001	2	1	2	0.0159913694010944	0.07	2	1	1	0	0.3
2002	2	1	2	0.00183588446377711	0.07	2	1	1	0	0.3
2003	2	1	2	0.000821388761053258	0.07	2	1	1	0	0.3
2004	2	1	2	0.0014784297972461	0.07	2	1	1	0	0.3
2005	2	1	2	0.00353372220581866	0.07	2	1	1	0	0.3
2006	2	1	2	0.00124945519313769	0.07	2	1	1	0	0.3
2007	2	1	2	0.018368231087425	0.07	2	1	1	0	0.3
2008	2	1	2	0.0173897965858076	0.07	2	1	1	0	0.3
2009	2	1	2	0.0124123820381476	0.07	2	1	1	0	0.3
2010	2	1	2	0.0100496404614937	0.07	2	1	1	0	0.3
2011	2	1	2	0.190936000431846	0.07	2	1	1	0	0.3
2012	2	1	2	0.0571378051879034	0.07	2	1	1	0	0.3
2013	2	1	2	0.115653820913199	0.07	2	1	1	0	0.3
2014	2	1	2	0.29894180440904	0.07	2	1	1	0	0.3
2015	2	1	2	0.114997309956948	0.07	2	1	1	0	0.3
2016	2	1	2	0.0332320913502436	0.07	2	1	1	0	0.3
2017	2	1	2	0.0280113038115586	0.07	2	1	1	0	0.3
2018	2	1	2	0.0221893157567928	0.07	2	1	1	0	0.3
2019	2	1	2	0.0214132915886582	0.07	2	1	1	0	0.3
##	Bycatch	from all 																											
#year	seas	fleet	sex	obs	cv	type	units	mult	effort	discard_mortality																			
1982	2	2	0	0.367285		0.2	2	1	1	0	1																		
1983	2	2	0	0.473323		0.2	2	1	1	0	1																		
1984	2	2	0	0.502882		0.2	2	1	1	0	1																		
1985	2	2	0	0.431674		0.2	2	1	1	0	1																		
1986	2	2	0	0.00005			0.2	2	1	1	0	1																		
1987	2	2	0	0.002804		0.2	2	1	1	0	1																		
1988	2	2	0	0.001931		0.2	2	1	1	0	1																		
1989	2	2	0	0.100212		0.2	2	1	1	0	1																		
1990	2	2	0	0.331561206834102	0.1	2	1	1	0	1
1991	2	2	0	4.45056510496463	0.1	2	1	1	0	1
1992	2	2	0	2.0494434836808	0.1	2	1	1	0	1
1993	2	2	0	1.1259227925613	0.1	2	1	1	0	1
1994	2	2	0	0.699169109458274	0.1	2	1	1	0	1
1995	2	2	0	1.04390244096282	0.1	2	1	1	0	1
1996	2	2	0	1.22335891483662	0.1	2	1	1	0	1
1997	2	2	0	0.726351141124542	0.1	2	1	1	0	1
1998	2	2	0	0.578201979314174	0.1	2	1	1	0	1
1999	2	2	0	0.241415518701522	0.1	2	1	1	0	1
2000	2	2	0	0.247213600140356	0.1	2	1	1	0	1
2001	2	2	0	0.181251368251813	0.1	2	1	1	0	1
