crab_year,fishery,size,shell,total,target_stock
1994,QO95,115,old,389,BSSC
1994,QO95,116,new,2652,BSSC
1994,QO95,116,old,301,BSSC
1994,QO95,117,new,2706,BSSC
1994,QO95,117,old,366,BSSC
1994,QO95,118,new,2547,BSSC
1994,QO95,118,old,328,BSSC
1994,QO95,119,new,2055,BSSC
1994,QO95,119,old,265,BSSC
1994,QO95,120,new,2132,BSSC
1994,QO95,120,old,235,BSSC
1994,QO95,121,new,1773,BSSC
1994,QO95,121,old,227,BSSC
1994,QO95,122,new,1692,BSSC
1994,QO95,122,old,212,BSSC
1994,QO95,123,new,1401,BSSC
1994,QO95,123,old,151,BSSC
1994,QO95,124,new,1153,BSSC
1994,QO95,124,old,134,BSSC
1994,QO95,125,new,1040,BSSC
1994,QO95,125,old,98,BSSC
1994,QO95,126,new,784,BSSC
1994,QO95,126,old,98,BSSC
1994,QO95,127,new,623,BSSC
1994,QO95,127,old,78,BSSC
1994,QO95,128,new,548,BSSC
1994,QO95,128,old,52,BSSC
1994,QO95,129,new,414,BSSC
1994,QO95,129,old,36,BSSC
1994,QO95,130,new,349,BSSC
1994,QO95,130,old,27,BSSC
1994,QO95,131,new,198,BSSC
1994,QO95,131,old,24,BSSC
1994,QO95,132,new,214,BSSC
1994,QO95,132,old,10,BSSC
1994,QO95,133,new,117,BSSC
1994,QO95,133,old,9,BSSC
1994,QO95,134,new,85,BSSC
1994,QO95,134,old,5,BSSC
1994,QO95,135,new,79,BSSC
1994,QO95,135,old,5,BSSC
1994,QO95,136,new,38,BSSC
1994,QO95,136,old,6,BSSC
1994,QO95,137,new,31,BSSC
1994,QO95,137,old,2,BSSC
1994,QO95,138,new,20,BSSC
1994,QO95,139,new,10,BSSC
1994,QO95,139,old,1,BSSC
1994,QO95,140,new,7,BSSC
1994,QO95,140,old,2,BSSC
1994,QO95,141,new,1,BSSC
1994,QO95,141,old,1,BSSC
1994,QO95,142,new,3,BSSC
1994,QO95,143,new,1,BSSC
1994,QO95,144,new,1,BSSC
1994,QO95,146,new,1,BSSC
1994,QO95,150,new,2,BSSC
1994,QO95,167,new,1,BSSC
1995,QO96,58,old,1,BSSC
1995,QO96,61,new,1,BSSC
1995,QO96,62,new,1,BSSC
1995,QO96,62,old,1,BSSC
1995,QO96,64,new,1,BSSC
1995,QO96,65,old,1,BSSC
1995,QO96,66,new,1,BSSC
1995,QO96,67,new,2,BSSC
1995,QO96,67,old,2,BSSC
1995,QO96,68,new,5,BSSC
1995,QO96,68,old,1,BSSC
1995,QO96,69,new,2,BSSC
1995,QO96,69,old,2,BSSC
1995,QO96,70,new,4,BSSC
1995,QO96,71,new,5,BSSC
1995,QO96,72,new,11,BSSC
1995,QO96,72,old,5,BSSC
1995,QO96,73,new,8,BSSC
1995,QO96,73,old,1,BSSC
1995,QO96,74,new,19,BSSC
1995,QO96,74,old,2,BSSC
1995,QO96,75,new,24,BSSC
1995,QO96,75,old,3,BSSC
1995,QO96,76,new,25,BSSC
1995,QO96,76,old,7,BSSC
1995,QO96,77,new,31,BSSC
1995,QO96,77,old,6,BSSC
1995,QO96,78,new,35,BSSC
1995,QO96,78,old,5,BSSC
1995,QO96,79,new,68,BSSC
1995,QO96,79,old,8,BSSC
1995,QO96,80,new,70,BSSC
1995,QO96,80,old,19,BSSC
1995,QO96,81,new,75,BSSC
1995,QO96,81,old,7,BSSC
1995,QO96,82,new,138,BSSC
1995,QO96,82,old,17,BSSC
