crab_year,fishery,sex,total_catch_n,total_catch_wt,retained_n,retained_wt,discard_n,discard_wt,discard_mortality_n,discard_mortality_wt,total_mortality_n,total_mortality_wt,target_stock
2001,QO02,1,38810748.26086956,18783.50304554182,25149121,14798.61591902368,13661627.260869563,3984.8871265181406,4098488.1782608684,1195.466137955442,29247609.17826087,15994.082056979121,BSSC
2001,QO02,2,222317.2811594203,15.991369401094392,0,0,222317.2811594203,15.991369401094392,66695.18434782609,4.7974108203283174,66695.18434782609,4.7974108203283174,BSSC
2001,TB02,1,0,0,0,0,0,0,0,0,0,0,BBGKC
2001,TB02,2,0,0,0,0,0,0,0,0,0,0,BBGKC
2001,TR01,1,16432.445454545454,10.382785227562074,0,0,16432.445454545454,10.382785227562074,4929.733636363636,3.114835568268622,4929.733636363636,3.114835568268622,BBRKC
2001,TR01,2,507.17424242424244,0.14750963698392972,0,0,507.17424242424244,0.14750963698392972,152.15227272727273,0.044252891095178916,152.15227272727273,0.044252891095178916,BBRKC
2002,QB03,1,4.812816188870151,5.817363446140434e-4,0,0,4.812816188870151,5.817363446140434e-4,1.4438448566610453,1.74520903384213e-4,1.4438448566610453,1.74520903384213e-4,PIGKC
2002,QB03,2,0,0,0,0,0,0,0,0,0,0,PIGKC
2002,QO03,1,39716917.29652605,17342.836682398327,23248722,12842.016871808,16468195.296526052,4500.819810590327,4940458.588957815,1350.2459431770978,28189180.588957816,14192.262814985099,BSSC
2002,QO03,2,20234.952853598013,1.83588446377711,0,0,20234.952853598013,1.83588446377711,6070.485856079404,0.550765339133133,6070.485856079404,0.550765339133133,BSSC
2002,TR02,1,20732.322493224932,11.559079797605436,0,0,20732.322493224932,11.559079797605436,6219.6967479674795,3.467723939281631,6219.6967479674795,3.467723939281631,BBRKC
2002,TR02,2,0,0,0,0,0,0,0,0,0,0,BBRKC
2003,QB04,1,0,0,0,0,0,0,0,0,0,0,PIGKC
2003,QB04,2,0,0,0,0,0,0,0,0,0,0,PIGKC
2003,QO04,1,19998050.275968038,10696.290035086256,18669591,10860.068853816,1328459.2759680375,-163.77881872974285,398537.78279041126,-0,19068128.78279041,10860.068853816,BSSC
2003,QO04,2,6843.153042409343,0.8213887610532582,0,0,6843.153042409343,0.8213887610532582,2052.945912722803,0.24641662831597744,2052.945912722803,0.24641662831597744,BSSC
2003,TB04,1,0,0,0,0,0,0,0,0,0,0,BBGKC
2003,TB04,2,0,0,0,0,0,0,0,0,0,0,BBGKC
2003,TR03,1,22507.955445544554,10.553659669483755,0,0,22507.955445544554,10.553659669483755,6752.386633663366,3.1660979008451267,6752.386633663366,3.1660979008451267,BBRKC
2003,TR03,2,133.18316831683168,0.032184933918028236,0,0,133.18316831683168,0.032184933918028236,39.9549504950495,0.00965548017540847,39.9549504950495,0.00965548017540847,BBRKC
2004,QB05,1,0,0,0,0,0,0,0,0,0,0,PIGKC
2004,QB05,2,0,0,0,0,0,0,0,0,0,0,PIGKC
2004,QO05o,1,26189057.05651491,14875.757752492964,17985745,11290.870123776,8203312.056514911,3584.887628716964,2460993.6169544733,1075.4662886150893,20446738.616954472,12366.336412391089,BSSC
2004,QO05o,2,14736.067503924647,1.4784297972461042,0,0,14736.067503924647,1.4784297972461042,4420.820251177394,0.44352893917383124,4420.820251177394,0.44352893917383124,BSSC
2004,TR04,1,32540.333333333336,10.742645749805588,0,0,32540.333333333336,10.742645749805588,9762.1,3.2227937249416763,9762.1,3.2227937249416763,BBRKC
2004,TR04,2,0,0,0,0,0,0,0,0,0,0,BBRKC
2005,QO05r,1,29866961.67247387,17393.759409382845,24520279,16748.196047344,5346682.67247387,645.5633620388435,1604004.801742161,193.66900861165303,26124283.801742163,16941.865055955655,BSSC
2005,QO05r,2,38761.469221835076,3.5337222058186635,0,0,38761.469221835076,3.5337222058186635,11628.440766550522,1.060116661745599,11628.440766550522,1.060116661745599,BSSC
2005,QT05,1,118352.90000000001,67.9053029998252,31707,22.864665536,86645.90000000001,45.04063746382519,25993.77,13.512191239147556,57700.770000000004,36.37685677514756,WBT
2005,QT05,2,634.6,0.11074216766201554,0,0,634.6,0.11074216766201554,190.38,0.03322265029860466,190.38,0.03322265029860466,WBT
2005,TR05,1,16234.678167115902,8.57227864474577,0,0,16234.678167115902,8.57227864474577,4870.4034501347705,2.571683593423731,4870.4034501347705,2.571683593423731,BBRKC
2005,TR05,2,247.85768194070084,0.06540683227103314,0,0,247.85768194070084,0.06540683227103314,74.35730458221025,0.01962204968130994,74.35730458221025,0.01962204968130994,BBRKC
2006,QO06,1,43345458.67620751,20665.176479245918,29536398,16439.983458488,13809060.676207513,4225.193020757917,4142718.2028622534,1267.557906227375,33679116.202862255,17707.541364715376,BSSC
2006,QO06,2,10578.654740608228,1.2494551931376852,0,0,10578.654740608228,1.2494551931376852,3173.5964221824684,0.37483655794130555,3173.5964221824684,0.37483655794130555,BSSC
2006,QT06,1,28895.985815602835,15.059679363205289,84287,50.64808272,-55391.014184397165,-35.58840335679471,-0,-0,84287,50.64808272,WBT
2006,QT06,2,0,0,0,0,0,0,0,0,0,0,WBT
2006,TR06,1,10777.864048338368,5.771806203278456,0,0,10777.864048338368,5.771806203278456,3233.3592145015105,1.7315418609835367,3233.3592145015105,1.7315418609835367,BBRKC
2006,TR06,2,54.16012084592145,0.01293374393047768,0,0,54.16012084592145,0.01293374393047768,16.248036253776434,0.003880123179143304,16.248036253776434,0.003880123179143304,BBRKC
2006,TT06,1,127638.64285714284,68.16335085634414,0,0,127638.64285714284,68.16335085634414,38291.59285714285,20.44900525690324,38291.59285714285,20.44900525690324,EBT
2006,TT06,2,54.54642857142857,0.00933610526059592,0,0,54.54642857142857,0.00933610526059592,16.36392857142857,0.0028008315781787763,16.36392857142857,0.0028008315781787763,EBT
2007,QO07,1,69437781.35470827,34357.25407090581,50307812,28577.341075968,19129969.35470827,5779.9129949378075,5738990.806412481,1733.9738984813423,56046802.80641248,30311.314974449342,BSSC
2007,QO07,2,153795.3379549393,18.36823108742498,0,0,153795.3379549393,18.36823108742498,46138.601386481794,5.510469326227494,46138.601386481794,5.510469326227494,BSSC
2007,QT07,1,156156.15533980582,87.22782689387438,19779,11.671829344,136377.15533980582,75.55599754987438,40913.14660194174,22.66679926496231,60692.14660194174,34.33862860896231,WBT
2007,QT07,2,0,0,0,0,0,0,0,0,0,0,WBT
2007,TR07,1,21738.918645780697,11.84897139149611,0,0,21738.918645780697,11.84897139149611,6521.675593734209,3.5546914174488333,6521.675593734209,3.5546914174488333,BBRKC
2007,TR07,2,57.20768064679131,0.018282895843290858,0,0,57.20768064679131,0.018282895843290858,17.162304194037393,0.005484868752987257,17.162304194037393,0.005484868752987257,BBRKC
2007,TT07,1,532137.9521345408,278.32562728521003,0,0,532137.9521345408,278.32562728521003,159641.38564036222,83.497688185563,159641.38564036222,83.497688185563,EBT
2007,TT07,2,342.0569210866753,0.05269199202714369,0,0,342.0569210866753,0.05269199202714369,102.61707632600259,0.015807597608143105,102.61707632600259,0.015807597608143105,EBT
2008,QO08,1,61920812.74954737,31670.77317716941,45945092,26556.835923608,15975720.74954737,5113.937253561409,4792716.224864211,1534.1811760684227,50737808.224864215,28091.01709967642,BSSC
2008,QO08,2,150311.91973445987,17.3897965858076,0,0,150311.91973445987,17.3897965858076,45093.57592033796,5.21693897574228,45093.57592033796,5.21693897574228,BSSC
