"mode","peel","Year","ssb","recruit_male"
"standard",7,1985,236.32442615,1883606.22391298
"standard",7,1986,255.76779087,294807.35053601
"standard",7,1987,287.53622654,613878.01687273
"standard",7,1988,336.57384527,344072.74641577
"standard",7,1989,390.71267342,357891.58741381
"standard",7,1990,350.43989984,2104697.69695167
"standard",7,1991,321.68974794,1878007.93430821
"standard",7,1992,253.51630698,126668.22515067
"standard",7,1993,227.46089856,96257.88135588
"standard",7,1994,281.77884086,169862.57536327
"standard",7,1995,255.74532332,204212.07431755
"standard",7,1996,264.4241078,134435.07524141
"standard",7,1997,248.15362151,145228.55314198
"standard",7,1998,174.43246453,247348.06685915
"standard",7,1999,146.68729501,147386.64152771
"standard",7,2000,122.21661775,76206.23244253
"standard",7,2001,102.10595565,736113.9247634
"standard",7,2002,84.25917236,469139.81252722
"standard",7,2003,76.52416406,301486.85173136
"standard",7,2004,69.78158619,986857.06649087
"standard",7,2005,81.50347325,311825.71410236
"standard",7,2006,100.29698554,187076.60032147
"standard",7,2007,110.73173832,596425.50501468
"standard",7,2008,121.30365492,627111.94447645
"standard",7,2009,137.59036257,152831.81877004
"standard",7,2010,137.14874734,148458.01035368
"standard",7,2011,139.27073066,134048.68879036
"standard",7,2012,129.27267086,350075.18679398
"standard",7,2013,121.29461919,615249.90911378
"standard",7,2014,101.29955982,2527141.61644673
"standard",7,2015,87.55020678,2835178.40474681
"standard",7,2016,80.91053001,409181.91479117
"standard",7,2017,110.67653257,283158.40193671
"standard",7,2018,122.58852599,273328.44149749
"standard",8,1982,215.05737274,770867.99128361
"standard",8,1983,218.58862511,1214244.63710678
"standard",8,1984,228.112422,2429879.21022543
"standard",8,1985,236.41781991,1881595.924562
"standard",8,1986,256.16792995,296634.02773863
"standard",8,1987,288.15898231,612354.03192739
"standard",8,1988,337.11801595,342367.90358904
"standard",8,1989,391.33977573,360509.90126149
"standard",8,1990,351.3754234,2098505.10873526
"standard",8,1991,322.28181365,1874809.6127917
"standard",8,1992,253.91014473,126075.93155951
"standard",8,1993,227.61161057,95593.63917542
"standard",8,1994,281.59570189,170419.13516387
"standard",8,1995,255.48868701,205162.15652333
"standard",8,1996,263.9688653,134738.47884791
"standard",8,1997,247.51361821,142916.20840488
"standard",8,1998,173.89183795,245679.55704906
"standard",8,1999,146.15244483,149270.62089013
"standard",8,2000,121.84132344,75994.73591411
"standard",8,2001,101.85965058,735023.05021115
"standard",8,2002,84.01164603,466290.16108742
"standard",8,2003,76.20269015,296047.1606909
"standard",8,2004,69.42061583,979626.92361941
"standard",8,2005,81.14191234,320397.99900926
"standard",8,2006,99.87090385,187635.31930598
"standard",8,2007,110.13174658,596627.56625921
"standard",8,2008,120.46613358,623328.21119383
"standard",8,2009,136.46959496,151302.27829754
"standard",8,2010,136.12082271,150914.48629256
"standard",8,2011,138.60383964,135988.71200134
"standard",8,2012,128.89435294,303715.55118466
"standard",8,2013,120.89542017,580616.37380253
"standard",8,2014,100.88775566,2001640.08040404
"standard",8,2015,86.8382021,2461298.0197594
"standard",8,2016,79.14689842,551361.37090901
"standard",8,2017,102.2079873,341788.15020531
"standard",9,1982,215.6088936,788825.4157045
"standard",9,1983,222.86339576,1198340.95469151
"standard",9,1984,234.56209696,2412748.14105721
"standard",9,1985,242.77239413,1884556.66376131
"standard",9,1986,261.36346661,293236.54048596
"standard",9,1987,292.3121598,621354.04918265
"standard",9,1988,340.95421615,339688.21972456
"standard",9,1989,394.4977289,357653.60786799
"standard",9,1990,352.63421708,2115785.35274756
"standard",9,1991,323.52897203,1878659.1891133
"standard",9,1992,254.63962854,134793.54724581
"standard",9,1993,228.29503237,103171.60780971
"standard",9,1994,282.94086716,166590.90931329
"standard",9,1995,256.85062572,194325.72775698
"standard",9,1996,266.16090112,145137.68715174
"standard",9,1997,250.16197981,141303.39171049
"standard",9,1998,175.60604851,258837.09721465
"standard",9,1999,148.32710514,142172.4563756
"standard",9,2000,123.4458678,73373.50629275
"standard",9,2001,102.88148471,753752.24893749
"standard",9,2002,85.04415736,459276.56893115
"standard",9,2003,77.57354247,337862.35455242
"standard",9,2004,71.05693222,993027.04441013
"standard",9,2005,82.89665457,288782.43679031
"standard",9,2006,102.06423884,177927.03984889
"standard",9,2007,112.82818119,612006.20252517
"standard",9,2008,124.01316305,607780.58852017
"standard",9,2009,141.06742102,138917.64742739
"standard",9,2010,140.08240315,194524.18996757
"standard",9,2011,140.77008401,324167.41319032
"standard",9,2012,129.61961333,272852.07710505
"standard",9,2013,121.58964827,464773.68307826
"standard",9,2014,102.75764599,1665136.33575722
"standard",9,2015,92.65865411,1546105.29891162
"standard",9,2016,88.22275117,639245.16293508
"standard",10,1982,216.13626207,783746.42923522
"standard",10,1983,221.77420953,1198121.24373522
"standard",10,1984,232.39647183,2404801.73552382
"standard",10,1985,240.2164049,1895164.21503808
