"mode","peel","Year","recruit_male"
"drop_survey",4,2009,155355.75593919
"drop_survey",4,2010,158583.60116791
"drop_survey",4,2011,161911.99707784
"drop_survey",4,2012,423684.13605537
"drop_survey",4,2013,597252.73138082
"drop_survey",4,2014,2506883.59570676
"drop_survey",4,2015,2108287.82859337
"drop_survey",4,2016,1311707.31359306
"drop_survey",4,2017,242661.71292948
"drop_survey",4,2018,200530.79711949
"drop_survey",4,2019,277913.0201691
"drop_survey",4,2020,456417.72641683
"drop_survey",4,2021,434843.19336821
"drop_survey",5,1982,784617.10418923
"drop_survey",5,1983,1198523.78087996
"drop_survey",5,1984,2400313.95505809
"drop_survey",5,1985,1884074.98029143
"drop_survey",5,1986,291699.64341256
"drop_survey",5,1987,620172.0464818
"drop_survey",5,1988,347046.75131592
"drop_survey",5,1989,353198.21720073
"drop_survey",5,1990,2101029.9058359
"drop_survey",5,1991,1894279.03970594
"drop_survey",5,1992,132714.17846756
"drop_survey",5,1993,101105.64368363
"drop_survey",5,1994,166147.97340253
"drop_survey",5,1995,198811.08139765
"drop_survey",5,1996,137880.22389986
"drop_survey",5,1997,149560.69549558
"drop_survey",5,1998,252372.59547926
"drop_survey",5,1999,143683.3417034
"drop_survey",5,2000,76912.26320545
"drop_survey",5,2001,734611.38007723
"drop_survey",5,2002,481929.11313445
"drop_survey",5,2003,322272.54493871
"drop_survey",5,2004,994166.96130312
"drop_survey",5,2005,290102.96933511
"drop_survey",5,2006,183135.8484176
"drop_survey",5,2007,598917.14098147
"drop_survey",5,2008,629118.03720467
"drop_survey",5,2009,153632.23976849
"drop_survey",5,2010,147973.32602115
"drop_survey",5,2011,133459.9933582
"drop_survey",5,2012,364170.55164261
"drop_survey",5,2013,629218.96531638
"drop_survey",5,2014,2377382.87188014
"drop_survey",5,2015,3219496.95496455
"drop_survey",5,2016,420910.45672471
"drop_survey",5,2017,302113.60088702
"drop_survey",5,2018,294746.80423361
"drop_survey",5,2019,387729.65622578
"drop_survey",5,2020,405286.40916046
"drop_survey",6,1982,782568.26559007
"drop_survey",6,1983,1200905.26669591
"drop_survey",6,1984,2407514.492061
"drop_survey",6,1985,1875258.55843213
"drop_survey",6,1986,291589.59382962
"drop_survey",6,1987,617624.52751165
"drop_survey",6,1988,346427.32572977
"drop_survey",6,1989,353748.01751738
"drop_survey",6,1990,2118038.71695329
"drop_survey",6,1991,1878901.68171832
"drop_survey",6,1992,131384.02964481
"drop_survey",6,1993,100509.53390611
"drop_survey",6,1994,167118.33924488
"drop_survey",6,1995,199577.8072249
"drop_survey",6,1996,137033.89062322
"drop_survey",6,1997,148921.32647099
"drop_survey",6,1998,253562.06991644
"drop_survey",6,1999,144275.29633749
"drop_survey",6,2000,76967.57819494
"drop_survey",6,2001,736776.52762165
"drop_survey",6,2002,478693.78946918
"drop_survey",6,2003,321075.15764666
"drop_survey",6,2004,997721.63133668
"drop_survey",6,2005,291448.67364855
"drop_survey",6,2006,183441.9232946
"drop_survey",6,2007,599212.6440586
"drop_survey",6,2008,626352.98141988
"drop_survey",6,2009,153232.058806
"drop_survey",6,2010,148134.14073327
"drop_survey",6,2011,134459.0279338
"drop_survey",6,2012,356420.03667191
"drop_survey",6,2013,608782.24203752
"drop_survey",6,2014,2376065.05111185
"drop_survey",6,2015,3063995.32158739
"drop_survey",6,2016,418387.51074147
"drop_survey",6,2017,294569.50707136
"drop_survey",6,2018,290419.49509642
"drop_survey",6,2019,386694.92128545
"drop_survey",7,1982,778481.29546507
"drop_survey",7,1983,1210203.3642636
"drop_survey",7,1984,2424514.13096197
"drop_survey",7,1985,1879758.67657184
"drop_survey",7,1986,295082.63287751
"drop_survey",7,1987,613784.4036737
"drop_survey",7,1988,343763.8340055
"drop_survey",7,1989,359591.81511248
"drop_survey",7,1990,2111798.05451637
"drop_survey",7,1991,1871593.49071484
"drop_survey",7,1992,127722.85972436
"drop_survey",7,1993,97192.14919908
"drop_survey",7,1994,169493.42906714
"drop_survey",7,1995,203561.28842789
"drop_survey",7,1996,135778.31795165
"drop_survey",7,1997,144349.7227739
"drop_survey",7,1998,249283.85453401
"drop_survey",7,1999,147174.78286395
"drop_survey",7,2000,76229.79760018
"drop_survey",7,2001,738914.06235382
"drop_survey",7,2002,468370.50201462
"drop_survey",7,2003,305888.99211915
"drop_survey",7,2004,987628.92150696
"drop_survey",7,2005,309674.18114266
"drop_survey",7,2006,186305.44256144
"drop_survey",7,2007,599277.74228139
"drop_survey",7,2008,622903.86128349
"drop_survey",7,2009,151743.00577787
"drop_survey",7,2010,149852.18245616
"drop_survey",7,2011,135760.59683919
"drop_survey",7,2012,314194.42734003
"drop_survey",7,2013,547149.41231858
"drop_survey",7,2014,2113716.83576789
"drop_survey",7,2015,2606720.19190697
"drop_survey",7,2016,533961.55165165
"drop_survey",7,2017,349314.68085045
"drop_survey",7,2018,399617.3209288
"drop_survey",8,1982,759966.97085263
"drop_survey",8,1983,1212947.35460393
"drop_survey",8,1984,2429205.24551262
"drop_survey",8,1985,1883759.13286557
"drop_survey",8,1986,292450.75599277
"drop_survey",8,1987,619969.41994378
"drop_survey",8,1988,338087.11180538
"drop_survey",8,1989,360638.12933807
"drop_survey",8,1990,2122108.94654943
"drop_survey",8,1991,1869123.87156677
"drop_survey",8,1992,129202.21499494
"drop_survey",8,1993,99032.51261059
"drop_survey",8,1994,169302.19689622
"drop_survey",8,1995,200476.64542604
"drop_survey",8,1996,140747.65009066
"drop_survey",8,1997,139833.17499069
"drop_survey",8,1998,255888.45362494
"drop_survey",8,1999,143473.48769979
"drop_survey",8,2000,72867.32004329
"drop_survey",8,2001,759656.53494498
"drop_survey",8,2002,449762.11635293
