"year","sex","maturity","m27.5","m32.5","m37.5","m42.5","m47.5","m52.5","m57.5","m62.5","m67.5","m72.5","m77.5","m82.5","m87.5","m92.5","m97.5","m102.5","m107.5","m112.5","m117.5","m122.5","m127.5","m132.5"
2013,"male","mature",0,0.000792761177966295,0.0038456916320326,0.00943374894468487,0.0246637782459426,0.051267463966363,0.0869535158179967,0.0969472826581746,0.085435156739382,0.0924013184702928,0.102181578944338,0.0868675472405724,0.0618689445366487,0.0415954858317064,0.0542075638684859,0.057430142194986,0.0517451548447475,0.0374529518983394,0.0276896007077857,0.0168984697709988,0.00655081408204245,0.00377102842651365
2014,"male","mature",0,3.34861593477822e-05,0.00097073703869814,0.00828710276082925,0.0442614475185825,0.043427909752298,0.0901036192163086,0.127498802311639,0.10054980810437,0.0891191653332298,0.0807242223910919,0.0611467155900133,0.0451213731561382,0.0410495189443836,0.0496505892381187,0.0644100382142231,0.0630184942212764,0.0379286881432093,0.0287392864747184,0.0156190973549643,0.00626226806189084,0.00207763001466886
2015,"male","mature",0,0.000156005284981892,0.00988700525659712,0.0194596228212629,0.0240531887663498,0.0430023534797482,0.0918861870369566,0.0964013825588132,0.094888309694611,0.0885091945255311,0.0853234646802013,0.0785512452337528,0.058531771268344,0.0506916908125932,0.05562633953756,0.052031110035473,0.0444588737314413,0.0325469239395872,0.0274201252289945,0.0238629429129886,0.0145737865055751,0.00813847668863706
2016,"male","mature",0,0,0.0217952831274508,0.0654676411092527,0.10958696937866,0.117464900281019,0.108598854874423,0.0877518816281342,0.0571189506693249,0.0565975779223418,0.0622901716997982,0.0586348686872212,0.0530249091158064,0.0424014931278002,0.0409153743330804,0.0373762304395894,0.0300977650003636,0.0205414719134206,0.0143798463217125,0.00775525663068183,0.00468158243677285,0.00351897130314661
2017,"male","mature",0,0,0.00991843089823495,0.054369837555174,0.0987132352422813,0.125626487918348,0.176068574404468,0.150566334101397,0.0872495212021799,0.0673050098680245,0.0568022091422805,0.0340695196413199,0.0273100090034552,0.0195304125337329,0.0232474091650601,0.0219819041264648,0.0178604360610417,0.0141334338928767,0.0082171348051713,0.00427548451162631,0.00222939011077023,0.000525225816092807
2018,"male","mature",0,1.52102697760617e-05,0.00147716439572227,0.0155902929437595,0.0583977654627659,0.157259470805436,0.196540412974333,0.167562770089701,0.111154573455883,0.0814147583411981,0.0662281239907299,0.050288081999509,0.0267872577912258,0.0196787499072404,0.0155228736020615,0.0142182103963386,0.0086155190383191,0.00473047773774828,0.0023424982507128,0.00121713168812395,0.000664530474232506,0.000294126385183564
2019,"male","mature",0,0,0.000376986013449812,0.00488841816277301,0.0267840831354984,0.0577035305920055,0.0897690318164792,0.106647764646189,0.112502700709238,0.132514425683385,0.130208149857337,0.108395132867155,0.0761122521704895,0.056780664427398,0.0386215219539408,0.0283413342989986,0.0155326608406692,0.00770178179493237,0.0039759713551809,0.00180102122672069,0.00107153895797014,0.000271029490189033
2021,"male","mature",8.66209195130124e-05,0.000326047658608815,0.000613974922181803,0.00164714934075066,0.00503158972060367,0.0215250140777727,0.0311448160582825,0.0506251749536289,0.0659097038385613,0.0972161714548992,0.132169188692446,0.136534367652266,0.123352891147858,0.109859478022892,0.0920798720579663,0.0645215056498972,0.0354144639711251,0.0216642837380622,0.0070120804375258,0.00230733033480537,0.000595465439217945,0.000362809911135523
2022,"male","mature",0,0.000196708149959992,0.00578362529162331,0.0225438900807903,0.0479262866044043,0.0490798846790439,0.0561734293290482,0.053550405740498,0.0700649543656778,0.0744853174918426,0.0858013962517326,0.0826865179924994,0.0799970281606287,0.0799305186040043,0.0877167582631457,0.0760105155346764,0.059968133326409,0.0381236312290834,0.0204210248137514,0.00712115711565032,0.00154600591365316,0.000872811061877267
2023,"male","mature",0,0,0.0163441559687112,0.0297342708274177,0.0702132888796456,0.133510387535893,0.143795765347251,0.126103638434654,0.0566829445815875,0.0357035453099791,0.0284467837851414,0.0312765402289697,0.0326088458338855,0.0500617962516686,0.0525137180168264,0.0574892241741202,0.0550942713825802,0.0425878439923635,0.0208313535000461,0.0117257282504052,0.00404864827587397,0.00122724942298048
2024,"male","mature",0,0,0.00637083623660452,0.0338070577242002,0.0881430450458947,0.146006278882968,0.148463187492979,0.155137977265141,0.0970848576266385,0.0706204627498864,0.0568593520888787,0.0400013253235653,0.0264989483312436,0.0226550950950254,0.0246535696336225,0.023458580815081,0.018858649884939,0.0205396980669992,0.0134985131246737,0.005602531641054,0.00150992507039615,0.000230107900209179
2025,"male","mature",0,0,0.000833849869143302,0.0106063145712309,0.0397245238540689,0.0894470349692323,0.143179139946702,0.173763968184549,0.170474750649263,0.100422459731909,0.0670871331095389,0.0662515081452738,0.0369015254679733,0.0251762473101918,0.0214770420027039,0.0188907764633883,0.0155683678758612,0.0107138880648068,0.0058698318310754,0.00261876352958704,0.000627776173423051,0.000365098250077629
2026,"male","mature",0,0,0.00239085043656551,0.00813806137240614,0.0163183589450798,0.052298443822739,0.104865494716127,0.178956093015781,0.148898638207158,0.108924299931536,0.120384617399947,0.0887152566356671,0.0627039357310255,0.0432225845483605,0.0193984594407918,0.0153164310542367,0.0117353064618455,0.00877695683828104,0.00543277832029296,0.00239478633432868,0.000992576304892527,0.000136070482937822
1982,"male","immature",0.00112064598573711,0.00115047896274192,0.00237841599535392,0.0126406671418942,0.0546497299583762,0.117752487025468,0.150608149021295,0.133737256278053,0.117306175664852,0.112395038104791,0.102040830613978,0.074882666713969,0.0538552402569669,0.0352201070262495,0.0198319211137242,0.00784899800790879,0.00169754185405056,0.000632105801483475,0.00015905938370828,6.83313732046021e-05,1.68108725799684e-05,7.34284361432553e-06
1983,"male","immature",0.0558586347338935,0.0818692549362275,0.010978947278682,0.0166977432073622,0.0495090023203652,0.0834710468734132,0.122971366815265,0.133699286114962,0.108892870956719,0.0726365154124125,0.0581536886000743,0.0571162877741516,0.0602850077047078,0.0506859085447658,0.02446459022517,0.00859892070546307,0.0028637625127557,0.000884273979611577,0.000253430464456661,8.95239701715669e-05,1.62348742236458e-05,3.70199514538162e-06
1984,"male","immature",0.0610827822541329,0.10140612212862,0.0998714587184238,0.143509712330331,0.190789072348132,0.0631487498036291,0.0394699879286011,0.0380317373651603,0.0398873629314064,0.0356720219562647,0.0375843122643716,0.0363142263787146,0.0346859008777808,0.0352699697406039,0.0232254900646562,0.0102460729198608,0.00524926923075102,0.00271973332248657,0.00129704802132085,0.000441586196721057,7.96722104875554e-05,1.7711007543139e-05
1985,"male","immature",0.0435950348860078,0.100471242013432,0.105063406326109,0.17003601630974,0.122142900717641,0.0789934294097674,0.0730848084145245,0.058894635869192,0.0333274662798285,0.030985282698057,0.0362174190115911,0.0385797359236183,0.0362030055336382,0.029306134489499,0.0203963701954062,0.0110756551388698,0.00562303776908037,0.00335015376752227,0.00188233210941053,0.000653718695813381,9.81879611375726e-05,2.00264801137265e-05
1986,"male","immature",0.0514815655750974,0.176849620400202,0.113888172088337,0.12879489474242,0.106438548974758,0.110910991298113,0.0986328152295348,0.0678455143756166,0.0395679372822085,0.0311681761847452,0.0234499356343002,0.0177910845554588,0.010993799409232,0.00816833721476994,0.0063346607936755,0.00394529646904759,0.00187676532018187,0.00109229499568618,0.00052536415593722,0.000204101164117317,3.43245483462005e-05,5.7995882134914e-06
1987,"male","immature",0.0033806879364374,0.0306618450176239,0.16576758688477,0.23417266588508,0.163949792362491,0.102584376358972,0.105216637344975,0.0683165688670861,0.0387447422850387,0.0244861362946984,0.0199194090946126,0.0137194486277178,0.00979210462884867,0.00890244193967076,0.00563029560356913,0.00283522212811896,0.00109353596732747,0.000476241330168298,0.000244226796718238,8.30948669933447e-05,1.96813788239632e-05,3.25840025820837e-06
