"model","parameter","class","n_optima","min","max","range","share_pct"
"26_gmacs_male_only","Log_fdev_Pot_Fishery_year_2001_season_2","shared (fishing mortality)",31,0.18662717,0.1885047,0.00187752999999999,0.103321471667605
"26_gmacs_male_only","Log_fdev_Trawl_Bycatch_year_2006_season_2","shared (fishing mortality)",31,0.66227019,0.66412931,0.00185911999999999,0.10230835960367
"26_gmacs_male_only","Log_fdev_Trawl_Bycatch_year_2021_season_2","shared (fishing mortality)",31,0.90434965,0.90620664,0.00185698999999995,0.102191144573999
"26_gmacs_male_only","Initial_logN_for_sex_male_mature_immature_newshell_class_9","male",31,11.90193568,11.9037819,0.0018462200000009,0.10159846576207
"26_gmacs_male_only","M_male_mature_block_group_1_block_2","male",31,1.15259916,1.15441003,0.00181086999999991,0.0996531365137747
"26_gmacs_male_only","Log_fdev_Pot_Fishery_year_1996_season_2","shared (fishing mortality)",31,0.53041372,0.53213592,0.00172220000000001,0.0947735793867213
"26_gmacs_male_only","Log_fdev_Pot_Fishery_year_2006_season_2","shared (fishing mortality)",31,-0.23957444,-0.2378709,0.00170354,0.0937467096901956
"26_gmacs_male_only","Log_fdev_Pot_Fishery_year_2000_season_2","shared (fishing mortality)",31,-0.3937919,-0.39218877,0.00160312999999995,0.0882210941367027
"26_gmacs_male_only","Log_fdev_Pot_Fishery_year_1995_season_2","shared (fishing mortality)",31,0.5786392,0.58023884,0.00159964000000001,0.0880290375857482
"26_gmacs_male_only","Log_fdev_Pot_Fishery_year_1998_season_2","shared (fishing mortality)",31,1.22138511,1.22295626,0.00157114999999997,0.0864612177757771
"26_gmacs_male_only","Log_fdev_Pot_Fishery_year_2010_season_2","shared (fishing mortality)",31,-0.57282888,-0.57125943,0.00156944999999997,0.0863676658741648
"26_gmacs_male_only","Log_fdev_Trawl_Bycatch_year_1984_season_2","shared (fishing mortality)",31,-0.20073758,-0.19919903,0.00153855,0.0846672224860292
"26_gmacs_male_only","Log_fdev_Trawl_Bycatch_year_1998_season_2","shared (fishing mortality)",31,0.91407652,0.91552056,0.00144404000000009,0.0794662870616706
"26_gmacs_male_only","Initial_logN_for_sex_male_mature_mature_newshell_class_11","male",31,11.52519893,11.52662392,0.00142499000000029,0.0784179554583156
"26_gmacs_male_only","Rec_dev_est_2017","shared (recruitment devs)",31,-1.1503842,-1.1489939,0.00139029999999996,0.076508946360094
"26_gmacs_male_only","Log_fdev_Trawl_Bycatch_year_2012_season_2","shared (fishing mortality)",31,-0.20026158,-0.19892558,0.001336,0.0735207885615257
